Iterations,TotalV,Wallclock
1,-190426,4.920151885
2,-113063,5.28809646
3,-105411,5.500575405
4,-101611,5.536490455
5,-99007,5.669553535
6,-96433,5.726660392
7,-93585,5.751869904
8,-91115,13.350176896
9,-90122,13.707264484
10,-89370,13.778204836
11,-87690,13.970806245
12,-81328,14.240619122
13,-77523,14.312729578
14,-74978,14.566833209
15,-72674,14.629897773
16,-71515,22.561594538
17,-70434,22.837154269
18,-69496,22.922196085
19,-69220,22.994065271
20,-69173,23.038261315
21,-69138,23.068757428
22,-69120,23.097606295
23,-69110,23.11236383
